item_id,authors,title,venue,year
405179,"['Abhik Bhattacharjee', 'Tahmid Hasan', 'Wasi Uddin Ahmad', 'Yuan-Fang Li', 'Yong-Bin Kang', 'Rifat Shahriyar']","CrossSum: Beyond English-Centric Cross-Lingual Summarization for 1, 500+ Language Pairs.",ACL,2023
405181,"['Satwik Bhattamishra', 'Arkil Patel', 'Varun Kanade', 'Phil Blunsom']",Simplicity Bias in Transformers and their Ability to Learn Sparse Boolean Functions.,ACL,2023
405182,"['Guanqun Bi', 'Lei Shen', 'Yanan Cao', 'Meng Chen 0006', 'Yuqiang Xie', 'Zheng Lin 0001', 'Xiaodong He 0001']",DiffusEmp: A Diffusion Model-Based Framework with Multi-Grained Control for Empathetic Response Generation.,ACL,2023
405184,"['Terra Blevins', 'Hila Gonen', 'Luke Zettlemoyer']",Prompting Language Models for Linguistic Structure.,ACL,2023
405185,"['Sofia Blinova', 'Xinyu Zhou', 'Martin Jaggi', 'Carsten Eickhoff', 'Seyed Ali Bahrainian']",SIMSUM: Document-level Text Simplification via Simultaneous Summarization.,ACL,2023
405186,"['Valeria Bolotova-Baranova', 'Vladislav Blinov', 'Sofya Filippova', 'Falk Scholer', 'Mark Sanderson']",WikiHowQA: A Comprehensive Benchmark for Multi-Document Non-Factoid Question Answering.,ACL,2023
405189,"['Nadav Borenstein', 'Natalia da Silva Perez', 'Isabelle Augenstein']",Multilingual Event Extraction from Historical Newspaper Adverts.,ACL,2023
405192,"['Eleftheria Briakou', 'Colin Cherry', 'George F. Foster']",Searching for Needles in a Haystack: On the Role of Incidental Bilingualism in PaLM&apos;s Translation Capability.,ACL,2023
405197,"['Emanuele Bugliarello', 'Laurent Sartran', 'Aishwarya Agrawal', 'Lisa Anne Hendricks', 'Aida Nematzadeh']",Measuring Progress in Fine-grained Vision-and-Language Understanding.,ACL,2023
405200,"['Alexandra Butoi', 'Ryan Cotterell', 'David Chiang 0001']",Convergence and Diversity in the Control Hierarchy.,ACL,2023
405201,"['Pere-Lluís Huguet Cabot', 'Simone Tedeschi', 'Axel-Cyrille Ngonga Ngomo', 'Roberto Navigli']",REDFM: a Filtered and Multilingual Relation Extraction Dataset.,ACL,2023
405203,"['Avi Caciularu', 'Matthew E. Peters', 'Jacob Goldberger', 'Ido Dagan', 'Arman Cohan']",Peek Across: Improving Multi-Document Modeling via Cross-Document Question-Answering.,ACL,2023
405206,"['Mingzhu Cai', 'Siqi Bao', 'Xin Tian', 'Huang He', 'Fan Wang', 'Hua Wu 0003']",Query Enhanced Knowledge-Intensive Conversation via Unsupervised Joint Modeling.,ACL,2023
405208,"['Pengshan Cai', 'Kaiqiang Song', 'Sangwoo Cho', 'Hongwei Wang 0010', 'Xiaoyang Wang', 'Hong Yu 0001', 'Fei Liu 0004', 'Dong Yu 0001']",Generating User-Engaging News Headlines.,ACL,2023
405211,"['Nitay Calderon', 'Subhabrata Mukherjee', 'Roi Reichart', 'Amir Kantor']",A Systematic Study of Knowledge Distillation for Natural Language Generation with Pseudo-Target Training.,ACL,2023
405214,['Kris Cao'],What is the best recipe for character-level encoder-only modelling?,ACL,2023
405217,"['Qingqing Cao', 'Bhargavi Paranjape', 'Hannaneh Hajishirzi']",PuMer: Pruning and Merging Tokens for Efficient Vision Language Models.,ACL,2023
405218,"['Zhiwei Cao', 'Baosong Yang', 'Huan Lin', 'Suhang Wu', 'Xiangpeng Wei', 'Dayiheng Liu', 'Jun Xie', 'Min Zhang', 'Jinsong Su']",Bridging the Domain Gaps in Context Representations for k-Nearest Neighbor Neural Machine Translation.,ACL,2023
405221,"['Arie Cattan', 'Lilach Eden', 'Yoav Kantor', 'Roy Bar-Haim']",From Key Points to Key Point Hierarchy: Structured and Expressive Opinion Summarization.,ACL,2023
405223,"['Heyan Chai', 'Jinhao Cui', 'Ye Wang', 'Min Zhang', 'Binxing Fang', 'Qing Liao 0001']",Improving Gradient Trade-offs between Tasks in Multi-task Text Classification.,ACL,2023
405226,"['Mohna Chakraborty', 'Adithya Kulkarni', 'Qi Li 0012']",Zero-shot Approach to Overcome Perturbation Sensitivity of Prompts.,ACL,2023
405227,"['Ilias Chalkidis', 'Nicolas Garneau', 'Catalina Goanta', 'Daniel Martin Katz', 'Anders Søgaard']",LeXFiles and LegalLAMA: Facilitating English Multinational Legal Language Model Development.,ACL,2023
405231,"['Jun Shern Chan', 'Michael Pieler', 'Jonathan Jao', 'Jérémy Scheurer', 'Ethan Perez']",Few-shot Adaptation Works with UnpredicTable Data.,ACL,2023
405232,"['Sachin Chanchani', 'Ruihong Huang']",Composition-contrastive Learning for Sentence Embeddings.,ACL,2023
405234,"['Tyler A. Chang', 'Kishaloy Halder', 'Neha Anna John', 'Yogarshi Vyas', 'Yassine Benajiba', 'Miguel Ballesteros', 'Dan Roth']",Characterizing and Measuring Linguistic Dataset Drift.,ACL,2023
405235,"['Ting-Yun Chang', 'Robin Jia']",Data Curation Alone Can Stabilize In-context Learning.,ACL,2023
405237,"['Haw-Shiuan Chang', 'Ruei-Yao Sun', 'Kathryn Ricci', 'Andrew McCallum']",Multi-CLS BERT: An Efficient Alternative to Traditional Ensembling.,ACL,2023
405239,"['Subhajit Chaudhury', 'Sarathkrishna Swaminathan', 'Daiki Kimura', 'Prithviraj Sen', 'Keerthiram Murugesan', 'Rosario Uceda-Sosa', 'Michiaki Tatsubori', 'Achille Fokoue', 'Pavan Kapanipathi', 'Asim Munawar', 'Alexander Gray']",Learning Symbolic Rules over Abstract Meaning Representations for Textual Reinforcement Learning.,ACL,2023
405242,"['Jiawei Chen 0011', 'Yaojie Lu 0001', 'Hongyu Lin', 'Jie Lou', 'Wei Jia', 'Dai Dai', 'Hua Wu 0003', 'Boxi Cao', 'Xianpei Han', 'Le Sun 0001']",Learning In-context Learning for Named Entity Recognition.,ACL,2023
405244,"['Hanjie Chen', 'Faeze Brahman', 'Xiang Ren 0001', 'Yangfeng Ji', 'Yejin Choi 0001', 'Swabha Swayamdipta']",REV: Information-Theoretic Evaluation of Free-Text Rationales.,ACL,2023
405247,"['Xuxi Chen', 'Tianlong Chen', 'Weizhu Chen', 'Ahmed Hassan Awadallah', 'Zhangyang Wang', 'Yu Cheng 0001']",DSEE: Dually Sparsity-embedded Efficient Tuning of Pre-trained Language Models.,ACL,2023
405250,"['Yiming Chen', 'Simin Chen', 'Zexin Li 0001', 'Wei Yang 0013', 'Cong Liu 0005', 'Robby T. Tan', 'Haizhou Li 0001']",Dynamic Transformers Provide a False Sense of Efficiency.,ACL,2023
405252,"['Haotian Chen', 'Bingsheng Chen', 'Xiangdong Zhou']",Did the Models Understand Documents? Benchmarking Models for Language Understanding in Document-Level Relation Extraction.,ACL,2023
405253,"['Mingda Chen', 'Paul-Ambroise Duquenne', 'Pierre Andrews', 'Justine Kao', 'Alexandre Mourachko', 'Holger Schwenk', 'Marta R. Costa-jussà']",BLASER: A Text-Free Speech-to-Speech Translation Evaluation Metric.,ACL,2023
405254,"['Yulin Chen', 'Ning Ding 0002', 'Xiaobin Wang', 'Shengding Hu', 'Haitao Zheng 0002', 'Zhiyuan Liu 0001', 'Pengjun Xie']",Exploring Lottery Prompts for Pre-trained Language Models.,ACL,2023
405256,"['Jingyi Chen', 'Micha Elsner']",Exploring How Generative Adversarial Networks Learn Phonological Representations.,ACL,2023
405257,"['Zhibin Chen', 'Yansong Feng', 'Dongyan Zhao 0001']","From the One, Judge of the Whole: Typed Entailment Graph Construction with Predicate Generation.",ACL,2023
405258,"['Zeming Chen', 'Qiyue Gao', 'Antoine Bosselut', 'Ashish Sabharwal', 'Kyle Richardson 0001']",DISCO: Distilling Counterfactuals with Large Language Models.,ACL,2023
405260,"['Ziwei Chen', 'Linmei Hu', 'Weixin Li 0001', 'Yingxia Shao', 'Liqiang Nie']",Causal Intervention and Counterfactual Reasoning for Multi-modal Fake News Detection.,ACL,2023
405261,"['Guanhua Chen', 'Lu Hou', 'Yun Chen', 'Wenliang Dai', 'Lifeng Shang', 'Xin Jiang', 'Qun Liu', 'Jia Pan', 'Wenping Wang']",mCLIP: Multilingual CLIP via Cross-lingual Transfer.,ACL,2023
